"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Paris","2016",1,4957589,7634.4,1.42,0,25.15,78.34,1.27,7.59,12.76,5702285.482,503393,8.83,50.98,2.79,16.01,30.23,217643,129186,136643,19920,NA,"20260226_041959",19598,52983199
"Paris","2016",2,4957589,7699,1.42,0,25.32,74.05,7.13,6.96,11.82,5702285.482,503393,8.83,50.98,2.79,16.01,30.23,217643,129186,136643,19920,NA,"20260226_041959",19751,57970144
"Paris","2016",3,4957589,7433.36,1.37,0,24.97,48.7,6.35,37.63,7.29,5702285.482,503393,8.83,50.98,2.79,16.01,30.23,217643,129186,136643,19920,NA,"20260226_041959",19951,109111460
"Paris","2016",4,4957589,6575.21,1.22,0,36.6,23.12,3.4,22.71,50.74,5702285.482,503393,8.83,50.98,2.79,16.01,30.23,217643,129186,136643,19920,NA,"20260226_041959",19951,210701682
"Paris","2021",1,4957589,7637.28,1.4,0.04,33.08,88.87,1.3,2.99,6.83,6565624.33,665716,10.14,60.05,4.71,9.71,25.53,324836,172348,138952,29580,NA,"20260226_041959",19926,91450404
"Paris","2021",2,4957589,7480.49,1.37,-2.84,32.95,80.44,10.89,2.6,6.05,6565624.33,665716,10.14,60.05,4.71,9.71,25.53,324836,172348,138952,29580,NA,"20260226_041959",19929,107222346
"Paris","2021",3,4957589,7210.88,1.33,-2.99,35.29,67.09,10.59,17.39,4.91,6565624.33,665716,10.14,60.05,4.71,9.71,25.53,324836,172348,138952,29580,NA,"20260226_041959",19929,138968962
"Paris","2021",4,4957589,6567.67,1.21,-0.11,47.62,34.43,7.26,12.43,45.87,6565624.33,665716,10.14,60.05,4.71,9.71,25.53,324836,172348,138952,29580,NA,"20260226_041959",19929,221352646
"Paris","2026",1,4957589,7407.12,1.36,-2.98,59.33,92.81,1.64,0.36,5.18,6928463.835,785114,11.33,65.9,6.42,2.33,25.35,404410,183108,159562,38033,NA,"20260226_041959",19978,89595845
"Paris","2026",2,4957589,7266.25,1.34,-5.62,59.93,82.41,12.62,0.39,4.58,6928463.835,785114,11.33,65.9,6.42,2.33,25.35,404410,183108,159562,38033,NA,"20260226_041959",19980,105786662
"Paris","2026",3,4957589,7242.42,1.33,-2.57,59.58,80.7,12.72,2.07,4.5,6928463.835,785114,11.33,65.9,6.42,2.33,25.35,404410,183108,159562,38033,NA,"20260226_041959",19980,109472517
"Paris","2026",4,4957589,6742.74,1.25,2.55,54.13,40.99,8.94,1.57,48.5,6928463.835,785114,11.33,65.9,6.42,2.33,25.35,404410,183108,159562,38033,NA,"20260226_041959",19980,168292783
